"REPOSITORY_VERSION","REFERENCE_ID","DOCUMENT_ID","VALUE"
"1858748199830560768_v1","666eb263-4292-4954-bfa7-f0f308d6ec1b","93e28433-b40b-4c0c-927b-b551ff95bfa2","41C27AE3-55AE-4B22-846D-0E7CC4C5CC14"
"1858748199830560768_v1","92a55f1d-7bdb-49e5-a9ab-8fe9569b1b0d","93e28433-b40b-4c0c-927b-b551ff95bfa2",A6AE7E10-76A7-4475-BE3F-77821EA9DA90
"1858748199830560768_v1","568f29c2-49bb-46ae-941d-f93c84197b32","93e28433-b40b-4c0c-927b-b551ff95bfa2","9C76D68D-BE01-468B-B962-CC8766411AB9"
"1858748199830560768_v1","759cd107-3782-472a-80ba-33e66377c1cb","93e28433-b40b-4c0c-927b-b551ff95bfa2",ADBF7AF1-7E95-446B-83D3-27860A6120E0
"1858748199830560768_v1",e2606bda-2752-459a-9cee-e3104010618d,"93e28433-b40b-4c0c-927b-b551ff95bfa2","41649E2C-85C3-45D5-A3AE-EF16FE9D7DA0"
"1858748199830560768_v1",f4800d4f-f91f-4197-af4e-43129be27293,"93e28433-b40b-4c0c-927b-b551ff95bfa2",F88B3C76-1B29-4C22-B2A2-ADE77DD7623D
"1858748199830560768_v1","9c6fb1c7-279b-4c7b-ab14-4fc996f96029","93e28433-b40b-4c0c-927b-b551ff95bfa2","4A797364-01B9-4A17-AC15-FD1DF93C8DF2"
"1858748199830560768_v1","9b163aad-4c41-4099-97bc-261ef98c768c","93e28433-b40b-4c0c-927b-b551ff95bfa2",EC072A2F-F605-4C79-A3C1-54716A8168C0
"1858748199830560768_v1","2b0ab364-d4ae-4d24-b34f-45e58f24cf84","93e28433-b40b-4c0c-927b-b551ff95bfa2","18E1B448-6AC2-4450-ADDE-7EBFD22F7C7A"
"1858748199830560768_v1","300ac812-ac6c-42ff-b916-96a3704391d5","93e28433-b40b-4c0c-927b-b551ff95bfa2","26F46134-D344-4224-8DA8-A9A4F5815295"
"1858748199830560768_v1","304a47b0-05c8-4110-b0ba-bc324bfb9547","93e28433-b40b-4c0c-927b-b551ff95bfa2",D9E9522D-7C72-4685-874C-AD32899984AF
"1858748199830560768_v1","52706e1b-632e-4b5a-a496-02b33c1dad52","93e28433-b40b-4c0c-927b-b551ff95bfa2","0E847447-6FE4-4C6B-AB79-87D642574E01"
"1858748199830560768_v1",eefc42fc-0026-4965-9c48-d75a882f804f,"93e28433-b40b-4c0c-927b-b551ff95bfa2","089B77B6-9408-4356-B50A-B782CBFEE939"
"1858748199830560768_v1","254e6d9e-6790-4594-bbc9-2080426c7fa1","93e28433-b40b-4c0c-927b-b551ff95bfa2","58381607-CFC8-4691-AE82-AAF5E0E49D3D"
"1858748199830560768_v1",e5981bf5-700c-4918-af79-72cfa6377854,"93e28433-b40b-4c0c-927b-b551ff95bfa2","00CFEAE1-90B9-4B6E-BE2B-5677FBAF8EB1"
"1858748199830560768_v1","41033ed2-0654-4d0d-af4f-7b6d511c261a","93e28433-b40b-4c0c-927b-b551ff95bfa2","799E0356-A9E3-44ED-800A-ECFCFA07DBBA"
"1858748199830560768_v1","70086838-a0b4-4cde-8cdc-6f1e63e42425","93e28433-b40b-4c0c-927b-b551ff95bfa2","53DB7CE3-C028-497E-BA2B-39A5319C4DDB"
"1858748199830560768_v1",e000f2ab-20bf-4eef-812c-4697fd9f3327,"93e28433-b40b-4c0c-927b-b551ff95bfa2","3B7B4284-0DC8-4B62-A6B6-F68E5A29220D"
"1858748199830560768_v1","67a1aed0-4793-4b6b-a0a0-248289baf2b3","93e28433-b40b-4c0c-927b-b551ff95bfa2",F52C2F6D-476A-44D0-BB4A-701156323A12
"1858748199830560768_v1","530b8c08-27f0-4551-a644-34ea7c27083c","93e28433-b40b-4c0c-927b-b551ff95bfa2",F5350425-C64A-4D7C-B904-4FF0AFC20255
"1858748199830560768_v1","0a245105-7959-42d1-8f87-788bf43579d8","93e28433-b40b-4c0c-927b-b551ff95bfa2","68CD1B91-A616-47B1-A718-8751667B69A1"
"1858748199830560768_v1",b6fd6d11-e173-47e5-a656-e349e3323a01,"93e28433-b40b-4c0c-927b-b551ff95bfa2","27DC1B52-9D1C-4DB1-9047-58908BD24233"
"1858748199830560768_v1","06af040b-808e-4cc3-bbd1-1b4758147203","93e28433-b40b-4c0c-927b-b551ff95bfa2","42BF6D04-7C86-4C76-8150-73986AC02F3F"
"1858748199830560768_v1","2102d00d-6685-4c75-b569-24bb35f7450d","93e28433-b40b-4c0c-927b-b551ff95bfa2",C8B51246-73F4-498A-8062-F446C168CA97
"1858748199830560768_v1","8330734c-b9df-4439-ac3a-142ce75e19df","93e28433-b40b-4c0c-927b-b551ff95bfa2","34838A1E-3D58-4474-909C-A389F9DC55AC"
"1858748199830560768_v1","78930c50-639d-4521-8514-71acbe2f4c97","93e28433-b40b-4c0c-927b-b551ff95bfa2","54A101F3-EE0B-4CE0-8238-4055056E9E08"
"1858748199830560768_v1","91d24107-3fa7-4ea2-933b-a3fca4472186","93e28433-b40b-4c0c-927b-b551ff95bfa2",D1C950A3-0279-4950-A030-2E19BD2DED62
"1858748199830560768_v1","4c6d2bd7-1693-46b0-912a-d489830511ff","93e28433-b40b-4c0c-927b-b551ff95bfa2","5B7289C8-A3F2-4B08-AF50-1037DC787FA1"
"1858748199830560768_v1",b69a50cf-9ec0-4765-b144-5c8fc8ecf255,"93e28433-b40b-4c0c-927b-b551ff95bfa2",BEB00D23-DC7D-458F-90AD-1056D43B8F76
"1858748199830560768_v1","1a9f7cc0-30c3-45d6-915e-c4d4ab15c909","93e28433-b40b-4c0c-927b-b551ff95bfa2",BD226ACC-3A81-416B-BBF3-3C564EC8E7DE
"1858748199830560768_v1","9dfcd569-a9ba-472b-97f5-4fdde13a7535","93e28433-b40b-4c0c-927b-b551ff95bfa2","04890998-BC11-4DE5-A30F-C6E319A3F38B"
"1858748199830560768_v1","173bacc9-35a6-4b70-9986-8cb37ae6ee83","93e28433-b40b-4c0c-927b-b551ff95bfa2","51E4DD70-9C1E-4AFD-BF46-A22B6785A543"
"1858748199830560768_v1",f25606a0-eeea-4aea-ae84-4134011d0456,"93e28433-b40b-4c0c-927b-b551ff95bfa2","0D02F105-51FD-4C80-B7EC-EAC6E4D9A97F"
"1858748199830560768_v1","58a640fc-7156-462c-84b8-33d1a2fe2ff6","93e28433-b40b-4c0c-927b-b551ff95bfa2","8EEC724E-B7FE-4E36-8F73-360999C15D05"
"1858748199830560768_v1","8ce9aadb-d422-420a-a468-4a3ae714e690","93e28433-b40b-4c0c-927b-b551ff95bfa2","3A57493E-D938-4C5B-8211-6FEB2E434EEB"
"1858748199830560768_v1","32f05d6c-9887-4f81-965b-e6b78b3c8dd2","93e28433-b40b-4c0c-927b-b551ff95bfa2",D003FDB3-336E-4975-AC35-97306D9B914F
"1858748199830560768_v1","58d3293d-9e42-4970-ae13-67ad1cc8cee5","93e28433-b40b-4c0c-927b-b551ff95bfa2","7CD3F8FA-F4E6-4023-8E19-1A1FD23B3086"
"1858748199830560768_v1",eea02220-6942-499f-beb5-b2e24a2ea4fc,"93e28433-b40b-4c0c-927b-b551ff95bfa2",B18B975F-5FFD-4356-B494-322BEDC97A7D
"1858748199830560768_v1","1b6eb72b-cdee-4794-83ca-1144ffdaa85e","93e28433-b40b-4c0c-927b-b551ff95bfa2","0C0C85BD-173B-4DA2-B75C-9A8CB13B8FD1"
"1858748199830560768_v1",f0d4477e-19be-4e82-99d8-00c757af5bdd,"93e28433-b40b-4c0c-927b-b551ff95bfa2","3F395096-584E-43D7-8C98-C0AF52495461"
"1858748199830560768_v1","784f3564-3f63-4dc1-80ac-6066c8c62315","93e28433-b40b-4c0c-927b-b551ff95bfa2","0641C16B-2D8D-45D1-82B3-3D6082FC535E"
"1858748199830560768_v1","736306ac-4a7c-4cd4-b32b-a963d6fa202e","93e28433-b40b-4c0c-927b-b551ff95bfa2",B372214D-FA33-4E6A-B13A-618FE65C04DE
"1858748199830560768_v1","7aacb853-53d7-47ba-8fa3-13ef88c019c5","93e28433-b40b-4c0c-927b-b551ff95bfa2","1AF8EDEB-40DE-481F-BB98-B00A7E8B1A1A"
"1858748199830560768_v1",d8ceddf4-5a37-413f-a164-05cf75bc037f,"93e28433-b40b-4c0c-927b-b551ff95bfa2","82909048-FA80-47BB-A4EA-ACFE4C471952"
"1858748199830560768_v1","6a1b732c-9eff-43f0-af04-8fb82721c1c6","93e28433-b40b-4c0c-927b-b551ff95bfa2","42325FCA-24CF-4FA8-88C8-F13F86C043BA"
"1858748199830560768_v1","54958901-2327-4f00-9a98-915fae7332a9","93e28433-b40b-4c0c-927b-b551ff95bfa2",ADDEACE2-520F-4901-93A8-62F3CF2C7629
"1858748199830560768_v1","2a62ba4d-e77c-4332-90b0-21a7398ec00a","93e28433-b40b-4c0c-927b-b551ff95bfa2",BD7C3A52-E734-4067-8B6E-9D8B5F560315
"1858748199830560768_v1",a765bc48-a3c8-4e36-84f4-a898cc93c102,"93e28433-b40b-4c0c-927b-b551ff95bfa2","4A763A3E-B623-409F-819E-BF06F23E77EB"
"1858748199830560768_v1","6fd28d49-f338-4d99-b623-c588858294e6","93e28433-b40b-4c0c-927b-b551ff95bfa2",FB9E3384-A420-4605-9588-915E2844ACAB
"1858748199830560768_v1","5180dc04-8e1f-45b8-b3bd-b018f004c567","93e28433-b40b-4c0c-927b-b551ff95bfa2","9B4E6FFB-4AF0-449A-964C-4801A4105998"
"1858748199830560768_v1","8f7d37d5-b2e1-4bae-b5c1-b4fffc7c304b","93e28433-b40b-4c0c-927b-b551ff95bfa2","33DF688E-AC07-497C-82F6-B11893FFE41B"
"1858748199830560768_v1","44a300d6-ce77-4bc7-bfba-17ccfc0af1d3","93e28433-b40b-4c0c-927b-b551ff95bfa2",DD2BA2B0-B942-4BB9-AD5D-1D256F44F6FD
"1858748199830560768_v1","17f2afb4-9b89-43a6-80f8-d5046545faae","93e28433-b40b-4c0c-927b-b551ff95bfa2","6A03E635-9981-4B8D-B45E-754134428532"
"1858748199830560768_v1","44f5ef1e-f903-4738-a8ce-163a50630704","93e28433-b40b-4c0c-927b-b551ff95bfa2","8061E5A3-E351-4BAD-A24E-91B2CFAB046B"
"1858748199830560768_v1",cc1119e7-c276-4706-b49a-712c2485ed34,"93e28433-b40b-4c0c-927b-b551ff95bfa2",CBC5F2BE-F9CB-4999-A025-89E571537068
"1858748199830560768_v1","13668063-45aa-45ab-8ecf-84b85005f962","93e28433-b40b-4c0c-927b-b551ff95bfa2","0C820019-359F-4CE2-8A90-8F593FD7F2A9"
"1858748199830560768_v1",f444e2cd-5285-4e3d-935b-f2fa501b7833,"93e28433-b40b-4c0c-927b-b551ff95bfa2","34B51042-CF5C-4F7F-987F-46C978C1B51F"
"1858748199830560768_v1","726c1094-a07f-41e9-91e5-a0834a5cf53f","93e28433-b40b-4c0c-927b-b551ff95bfa2","5013A910-D2E2-4C13-AD8D-FB9128CBBF22"
"1858748199830560768_v1","12b230cf-ec47-4922-ad28-124c5b5ed302","93e28433-b40b-4c0c-927b-b551ff95bfa2","8E90E7C3-C7E6-4335-9BB1-F60E25BC3399"
"1858748199830560768_v1",dc3304c6-393b-409f-ae51-fa264f444f8b,"93e28433-b40b-4c0c-927b-b551ff95bfa2","9AE959DC-6115-4339-B3B9-ECDE8CA91511"
"1858748199830560768_v1",d30cd664-af5f-4cc2-ab0e-f17762da21d9,"93e28433-b40b-4c0c-927b-b551ff95bfa2","6AEE8169-A1DF-4E5B-90DC-078FE128BF1E"
"1858748199830560768_v1","7d3f04a6-af7b-4db5-b216-95ecc15458be","93e28433-b40b-4c0c-927b-b551ff95bfa2","80354E93-1618-4F6E-9E0E-BB288BE7097C"
"1858748199830560768_v1","3859cc97-ebd0-493e-9c46-38ea85ded33c","93e28433-b40b-4c0c-927b-b551ff95bfa2","2B7B32B0-55A1-4B87-9C1F-C9FCAAF6895A"
"1858748199830560768_v1",f7fecf45-9912-40b7-8b7c-7a9ee95af4c7,"93e28433-b40b-4c0c-927b-b551ff95bfa2","6906B228-BA5D-45EB-85C9-90DD130CE88A"
"1858748199830560768_v1","17cdcb34-5433-4fe7-b714-ec9a58d039f4","93e28433-b40b-4c0c-927b-b551ff95bfa2","913039E5-2056-4A16-8ADB-1C5B5D174AB2"
"1858748199830560768_v1",d4057ab0-62e1-40d5-9aeb-ed8983c0bc27,"93e28433-b40b-4c0c-927b-b551ff95bfa2","2A358744-D967-4D26-B2E0-0EDF203DD647"
"1858748199830560768_v1",b21a5f47-07b9-45b2-a038-43b929e411c7,"93e28433-b40b-4c0c-927b-b551ff95bfa2","5ECA36C1-BF7E-4137-BF24-E4156039D894"
"1858748199830560768_v1",e5546c86-e77f-448b-8811-fedacba29f0a,"93e28433-b40b-4c0c-927b-b551ff95bfa2","30AAED56-B8C7-4CC7-8712-7E16CF4FBC58"
"1858748199830560768_v1","5bba3853-d6b9-49e1-9046-da4173828027","93e28433-b40b-4c0c-927b-b551ff95bfa2","68619116-D7DB-4538-9060-CD88A9991DA8"
"1858748199830560768_v1","3441e7c5-dc02-4f9a-aa29-014cf1436a2a","93e28433-b40b-4c0c-927b-b551ff95bfa2","87A9E1A3-AFD2-481B-9A3B-CD9DA5FB6305"
"1858748199830560768_v1","1506f4b1-e825-4741-93b4-65f63660a845","93e28433-b40b-4c0c-927b-b551ff95bfa2","23CD1819-327F-49A4-8181-06B7B5BB61CB"
"1858748199830560768_v1","967bd9b7-1dca-4542-8844-52c0a9a42872","93e28433-b40b-4c0c-927b-b551ff95bfa2",CD655B43-E108-4BEA-A0DA-DCD8EB041EC4
"1858748199830560768_v1","02e5a070-4c24-48aa-a3c0-f9d309d002e0","93e28433-b40b-4c0c-927b-b551ff95bfa2",E5181A14-9F57-415E-AF33-6C9BA4D37535
"1858748199830560768_v1",d3a86e32-d512-45b4-b95d-a0cef23a1093,"93e28433-b40b-4c0c-927b-b551ff95bfa2","72EE2905-845D-4141-80A0-068538D6244C"
"1858748199830560768_v1","5983fa55-13df-45b1-9956-441ba37848c4","93e28433-b40b-4c0c-927b-b551ff95bfa2",E9110E79-E5B8-4FFF-A5F5-9EE7E5A5BDF6
"1858748199830560768_v1","35e61019-ca87-4213-a207-a7a710c50168","93e28433-b40b-4c0c-927b-b551ff95bfa2","8CF7A813-727F-4AD4-B4AD-E482B99A223A"
