"REPOSITORY_VERSION","ID","CATEGORY","NAME","TAG"
"1858748199830560768_v1","85a0c3bc-09a7-4011-903e-b348b225b3b4",未知类型,BOX 2 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1",c2800bda-519d-4d11-8c6b-30ae438780fb,未知类型,BOX 3 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","84da5710-689b-4776-82c9-2685711966ec",未知类型,CONE 2 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","67af1550-a751-48ef-a60a-a6550ef920d1",未知类型,CYLINDER 3 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","002aaa40-1871-4a2e-9cf8-875f8b085c96",未知类型,BOX 4 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1",fe2bdf69-b042-449f-9d01-a99796ef3b59,未知类型,BOX 5 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","0d6b3910-7738-4994-a451-1aec13e83db7",未知类型,BOX 6 of SUBEQUIPMENT 12 of EQUIPMENT /=201348401/8894-=201348401/74035,
"1858748199830560768_v1","741941a2-027c-47de-9c85-08cd1bad2f95",EQUI,/=201348401/8892-=201348401/8894,
"1858748199830560768_v1","6f7a6f58-8144-4ef0-b27b-a2a24d3888f2",SUBE,SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8892-=201348401/8894,
"1858748199830560768_v1","433d35d4-5565-4a6c-86e0-eeaf45e9e4bd",未知类型,CYLINDER 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8892-=201348401/8894,
"1858748199830560768_v1",bb54326b-f4e2-4ed5-85cd-4250ad0a9edd,未知类型,CONE 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8892-=201348401/8894,
"1858748199830560768_v1","51167497-5ed7-4a0c-a3f9-f9a8a6fc6f50",未知类型,CYLINDER 2 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8892-=201348401/8894,
"1858748199830560768_v1",fed50d4b-4076-4002-9f1e-77ebe1dd87e4,未知类型,BOX 1 of SUBEQUIPMENT 1 of EQUIPMENT /=201348401/8892-=201348401/8894,
"1858748199830560768_v1","4520c4b5-3492-4066-96f0-a73fcb11da45",未知类型,BOX 1 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","8528a67e-718c-4702-92e6-937b9e3b5e8e",未知类型,BOX 2 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","3938a303-861a-4446-8624-a5627a427f19",未知类型,BOX 3 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1",e3ff5c9e-b69b-4a89-949a-68ee46665613,未知类型,CONE 2 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","20d240a3-4e1e-4964-b8d2-0d60a6a03ff8",未知类型,CYLINDER 3 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1",d759088e-23f4-4312-b1a7-a9e8cd7e942e,未知类型,BOX 4 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","1849f5a4-3cdb-4ac1-8b95-b455d0231f04",未知类型,BOX 5 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","5821916d-a4e7-4c32-8b30-86f7f41cb080",未知类型,BOX 6 of SUBEQUIPMENT 6 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","8af71a06-f55a-448b-bb7c-027b9f5edeaf",SUBE,SUBEQUIPMENT 7 of EQUIPMENT /=201348401/8924-=201348401/8926,
"1858748199830560768_v1","35823bcd-2555-485e-9f79-b067bf568d77",未知类型,BOX 6 of SUBEQUIPMENT 8 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","2d9ed13d-ac8f-4a56-a3de-1c41ac084153",SUBE,SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","260cec81-36ea-4d88-a511-5cc9eb2c23f8",未知类型,CYLINDER 1 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","2cab48a8-dd87-4874-bb73-c38db401aa19",未知类型,CONE 1 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1","5426c9ac-2cf4-4a8a-a2ba-7654b4e2bb53",未知类型,CYLINDER 2 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1",dbc7d17b-0c02-4b17-a899-b66ff3f094a9,未知类型,BOX 1 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
"1858748199830560768_v1",cb0f8fd8-6e4d-4ab5-9589-b010444869a8,未知类型,BOX 2 of SUBEQUIPMENT 9 of EQUIPMENT /=201348401/48095-=201348401/48093,
