"REPOSITORY_VERSION","ID","TARGET_ITEM_ID","SOURCE_DOCUMENT_ID","TARGET_DOCUMENT_ID"
"1858748199830560768_v1","39dd93c6-3e52-4cd7-a912-75542a82e9fe",bb31b330-6e5c-42f6-b08e-f25d4591b70d,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","22104a06-ec72-4e09-9dbc-0fb1a8bb4865","97823814-9d2a-4d67-b55c-e96af9c86833","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",dbcbd895-c8bf-49ce-8540-4c0c466c976b,"288effa9-ac40-47a7-90fa-c34fd1e5b06c","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","8432227e-b605-4a13-bff6-feb6e0789946",b83766f0-f7d2-4999-a645-1396e0a30644,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","9433247c-db70-47fa-ba71-df83b5de4655","2d34a021-3ba3-4428-838e-1c7e87d1b891","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","46ae9c9d-f153-4e59-8d26-07f5c474782f","64d0789d-369f-4d20-9f53-0fdba93850dc","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","9536ed61-208c-4e26-ad99-9e3e3fe403d3","8b33a371-a400-446b-98b3-6a9a3054ce9f","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d00bcebd-9826-4506-9573-abf14d5b152e,"9136737e-5647-4f99-8e37-4c11ff18e41e","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","7e92821c-17c9-4713-af88-1650615909da","47f9ee52-3e7e-4ecc-aed5-d730d380b597","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","35523456-23cb-4af8-9b08-3ce9180572aa","488e12aa-f870-4cb2-b9a3-e9ed3eb7395b","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","3691c565-419a-4814-b00f-c552691f8681","77248ebf-ff96-4748-b3f9-f4050ce43ea4","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","4e00559b-c929-46ad-a85d-a53838290435","69b42a14-1b2a-4fd6-a2c1-83ef6c680fee","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",e3d500aa-a346-4e74-acea-fc5d72af3468,"6d31c13e-7240-43e6-8ce5-377406d8f95b","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",ac792655-1e30-4ad1-8701-8575413f6938,"49a26aea-6026-47fe-bb2c-c7f71c402ff8","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","09201811-9ba1-431d-b05a-4c3efa3e8f2f","44960935-ca25-41f8-b4bb-a96e8fee9e6d","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",ca18615e-386f-489e-a59e-e62d27ec9fbd,"420e49ea-33f4-4a35-823c-ec7bc89831c0","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",c51b80ff-6aba-4adf-9cf9-ca40147fa848,fe333735-2f05-40df-9865-989c4c7fb4cb,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",c37b2d7a-45b1-4802-bc10-6d20df483a2b,"7f3ee15e-5916-4b89-adb3-a972ecfdf2c2","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","7e19c905-05a4-4add-94b8-39aa05555916",ca966d71-7adf-4735-a9d5-d01964413546,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",b4adebf6-b7af-4447-b7c5-2790fac65afe,"00b455ff-8856-45b3-8a40-2173582b4ff0","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d09a9986-3552-44af-b125-23e6b2af2925,"464a9d64-6362-44d9-b191-9cf259e04c5a","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",b2b8c947-6880-4a75-8d05-87ac4909b049,"65b751dd-2317-4282-9e10-cc6d4f6b01b7","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1",d435b34f-ab60-4dd2-abaa-8a9c4bb4af78,a35c717a-e51a-4a56-b8a4-21b48d066f6a,"93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","43098c6e-7029-4165-95f7-1062ccc7f580","01ffe637-446d-49c8-a5ab-1f00c9956ac0","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","6f976dc9-a6e2-4c93-8561-6ba51fe62775","4e888e6a-4ed9-4d94-b273-068f6ac100dd","93e28433-b40b-4c0c-927b-b551ff95bfa2",
"1858748199830560768_v1","60f1fbe8-d3c1-4f99-8daa-02e6d19ac2ce","7a5f479b-1a00-4e2a-b675-b42bc1376178","93e28433-b40b-4c0c-927b-b551ff95bfa2",
