"REPOSITORY_VERSION","ID","COMPOSITION_ITEM_ID","ITEM_ID"
"1858748199830560768_v1","7d409793-b33b-49e9-a2e0-4668162a8121","18348649-b528-4e32-8076-6e1512780643","107d0c3f-e166-40a7-980b-c35f58330138"
"1858748199830560768_v1",c0711129-b941-4cc5-a5a9-876e3a4967d1,"18348649-b528-4e32-8076-6e1512780643","179e7014-d65d-4328-84a8-0dd8fc72c366"
"1858748199830560768_v1","284b8be0-5d2e-4032-93e1-ba56fe93d1fe","18348649-b528-4e32-8076-6e1512780643","1e263697-4bab-4a6a-9d66-e2f8bf0284c1"
"1858748199830560768_v1","00be78de-9ee1-459f-8047-a59a96351095","18348649-b528-4e32-8076-6e1512780643",dc777133-a291-45e2-98d6-496b8dcece81
"1858748199830560768_v1","2fd4e4d3-42c7-4925-b575-b7efc23ed343","18348649-b528-4e32-8076-6e1512780643",feb43816-be1f-4581-8305-cacf72bb81c1
"1858748199830560768_v1","6c6dbd2b-7496-44f3-9ff6-c20e25e3a363",afffa667-087f-4d0e-b51a-5362201df204,dbce45bb-d053-4a72-b25c-5369e6650577
"1858748199830560768_v1","963981f6-00ce-4f98-ab5c-2c0b06cdec85",dbce45bb-d053-4a72-b25c-5369e6650577,"26645354-1a24-4614-8887-fd430f3a03f5"
"1858748199830560768_v1","62f67fe3-b8cb-4dcc-aed1-16fea882e6c2","26645354-1a24-4614-8887-fd430f3a03f5","614c6686-415b-40a5-ac0d-f7a186a6acf0"
"1858748199830560768_v1",b6ca9dc7-0696-47c8-9a46-b7416a96c398,"26645354-1a24-4614-8887-fd430f3a03f5","880dab43-da88-45b0-b20a-da572a063bfd"
"1858748199830560768_v1","22129a7e-a3fb-49de-b820-ed287553d214","26645354-1a24-4614-8887-fd430f3a03f5",c052918e-bc07-404a-b61f-d24bf0781713
"1858748199830560768_v1","414db81f-b90a-4a4c-a8dc-a59be9d0eef2","26645354-1a24-4614-8887-fd430f3a03f5","91677c38-9379-437d-9c0f-24784932a650"
"1858748199830560768_v1","49601ca4-7d74-421e-9c47-69b71302461d","26645354-1a24-4614-8887-fd430f3a03f5",dcc0e312-c85d-4c92-9957-8b99ebbaae0d
"1858748199830560768_v1",c4cced32-cb8b-43c1-ae26-edc749b688c5,"26645354-1a24-4614-8887-fd430f3a03f5","456a1b9d-fcc5-4c67-91d8-d17f0a99ec89"
"1858748199830560768_v1","13d6ddb0-018c-45f5-abfd-e7f426a2b158","26645354-1a24-4614-8887-fd430f3a03f5","0554cc38-1110-42db-960f-54bbb21c9f81"
"1858748199830560768_v1",df083a97-a03f-42f0-997a-42d4cd405bca,"26645354-1a24-4614-8887-fd430f3a03f5","62a9dc97-38b4-471c-b462-85f344c8b453"
"1858748199830560768_v1","1e163b7b-e657-4206-9b2f-b14047a7afc7","26645354-1a24-4614-8887-fd430f3a03f5","3c64f3ac-4fd0-4cb9-a94d-38969a5b34b4"
"1858748199830560768_v1","24f96101-747a-402f-9629-514d0d7caa0b","26645354-1a24-4614-8887-fd430f3a03f5","499c9cc9-eaca-4e38-b737-84c13a553e50"
"1858748199830560768_v1","1ad1647b-a03d-42ed-b179-a72c17b7aec8","26645354-1a24-4614-8887-fd430f3a03f5",a7265a85-c147-439a-ab67-50f4b37a2384
"1858748199830560768_v1","212edd5d-4057-4c0b-882a-1b46460c1f1a",dbce45bb-d053-4a72-b25c-5369e6650577,"4f648e83-94c9-496a-bf91-5b9e186898a4"
"1858748199830560768_v1","3116722d-305e-4481-bb18-12a2b499341f","4f648e83-94c9-496a-bf91-5b9e186898a4","80dda525-a699-4023-b350-e364127d7ded"
"1858748199830560768_v1","5c48950a-f84d-411d-9607-d149a6a462d2","4f648e83-94c9-496a-bf91-5b9e186898a4",def93990-e334-437a-a4bf-6efcec35947e
"1858748199830560768_v1",c01d38e8-0275-41bf-b45e-84b37dff8e4f,"4f648e83-94c9-496a-bf91-5b9e186898a4","1907d8e7-a0a1-4ca0-ae95-8a7bb6db86a8"
"1858748199830560768_v1","4100699b-6808-434b-91bc-8c6845abb931","4f648e83-94c9-496a-bf91-5b9e186898a4",b591cd82-2d42-4fc1-abb9-6473fe37584d
"1858748199830560768_v1","75f4fc9b-e9e8-4a80-80f3-75b86a6eb8f4","4f648e83-94c9-496a-bf91-5b9e186898a4",cdfcaa24-3144-48a1-8219-078033ad4e94
"1858748199830560768_v1",f7e26acd-fb76-40bf-8b88-03b55188924e,"4f648e83-94c9-496a-bf91-5b9e186898a4","08003f97-5882-40f0-b5dd-0354cbafab77"
"1858748199830560768_v1","66a71a98-b394-48c7-a2aa-3bedbbb2dfff","4f648e83-94c9-496a-bf91-5b9e186898a4","0e7669c1-7e91-4dce-b4e9-98d111827c52"
"1858748199830560768_v1","1597b80a-0b1c-4171-8e2f-f1cde897e944","4f648e83-94c9-496a-bf91-5b9e186898a4",c8dce1e6-f5be-42a7-b7c6-87229601d9ca
"1858748199830560768_v1","12718e41-165a-40d5-8e73-26dcbfd65f6f","4f648e83-94c9-496a-bf91-5b9e186898a4","34bace8e-390e-4a12-97be-2eada4eadedc"
